zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,rdt_pfm,rdt_pv,bf_pfm,bf_pv
South Gondar,Fogera,2016,1,252718.4531,2565,472,201,136,96,39
South Gondar,Fogera,2016,2,252718.4531,2042,481,226,164,66,25
South Gondar,Fogera,2016,3,252718.4531,1803,399,185,154,44,16
South Gondar,Fogera,2016,4,252718.4531,2049,308,108,128,53,19
South Gondar,Fogera,2016,5,252718.4531,1333,134,30,37,33,34
South Gondar,Fogera,2016,6,252718.4531,1652,146,53,55,21,17
South Gondar,Fogera,2016,7,252718.4531,1995,201,61,78,29,33
South Gondar,Fogera,2016,8,252718.4531,2331,247,58,122,34,33
South Gondar,Fogera,2016,9,252718.4531,2478,291,84,123,41,43
South Gondar,Fogera,2016,10,252718.4531,3408,255,78,86,53,38
South Gondar,Fogera,2016,11,252718.4531,3404,305,88,102,70,45
South Gondar,Fogera,2016,12,252718.4531,3862,575,234,177,91,73
South Gondar,Fogera,2016,13,252718.4531,4251,458,137,156,97,68
South Gondar,Fogera,2016,14,252718.4531,4283,640,255,198,106,81
South Gondar,Fogera,2016,15,252718.4531,4020,660,184,208,106,162
South Gondar,Fogera,2016,16,252718.4531,4280,613,153,158,165,137
South Gondar,Fogera,2016,17,252718.4531,4026,550,200,153,94,103
South Gondar,Fogera,2016,18,252718.4531,3806,838,348,200,166,124
South Gondar,Fogera,2016,19,252718.4531,6777,1648,802,535,158,153
South Gondar,Fogera,2016,20,252718.4531,6341,1604,749,517,188,150
South Gondar,Fogera,2016,21,252718.4531,6340,1689,727,507,236,216
South Gondar,Fogera,2016,22,252718.4531,6646,1651,679,600,194,178
South Gondar,Fogera,2016,23,252718.4531,6196,1534,569,553,226,186
South Gondar,Fogera,2016,24,252718.4531,4780,953,347,264,195,147
South Gondar,Fogera,2016,25,252718.4531,4706,1125,460,383,157,125
South Gondar,Fogera,2016,26,252718.4531,5003,866,334,299,117,116
South Gondar,Fogera,2016,27,252718.4531,3956,634,205,272,63,94
South Gondar,Fogera,2016,28,257267.3853,3021,462,154,158,74,76
South Gondar,Fogera,2016,29,257267.3853,3242,337,82,125,42,88
South Gondar,Fogera,2016,30,257267.3853,2782,261,59,82,56,64
South Gondar,Fogera,2016,31,257267.3853,2623,177,22,36,61,58
South Gondar,Fogera,2016,32,257267.3853,2819,242,45,89,43,65
South Gondar,Fogera,2016,33,257267.3853,3257,279,70,108,48,53
South Gondar,Fogera,2016,34,257267.3853,3571,268,56,102,52,58
South Gondar,Fogera,2016,35,257267.3853,3080,244,60,83,38,63
South Gondar,Fogera,2016,36,257267.3853,2754,171,41,48,30,52
South Gondar,Fogera,2016,37,257267.3853,2754,171,41,48,30,52
South Gondar,Fogera,2016,38,257267.3853,3912,328,108,112,46,62
South Gondar,Fogera,2016,39,257267.3853,3236,206,79,74,27,26
South Gondar,Fogera,2016,40,257267.3853,2504,50,9,12,10,19
South Gondar,Fogera,2016,41,257267.3853,2896,160,42,42,37,39
South Gondar,Fogera,2016,42,257267.3853,3349,231,39,52,70,70
South Gondar,Fogera,2016,43,257267.3853,3748,232,39,59,50,84
South Gondar,Fogera,2016,44,257267.3853,3837,252,63,78,43,68
South Gondar,Fogera,2016,45,257267.3853,3725,276,88,107,41,40
South Gondar,Fogera,2016,46,257267.3853,2855,274,97,64,44,69
South Gondar,Fogera,2016,47,257267.3853,3680,233,75,58,35,65
South Gondar,Fogera,2016,48,257267.3853,3593,215,47,60,48,60
South Gondar,Fogera,2016,49,257267.3853,3553,164,49,59,26,30
South Gondar,Fogera,2016,50,257267.3853,3790,172,27,35,53,57
South Gondar,Fogera,2016,51,257267.3853,3430,166,50,68,22,26
South Gondar,Fogera,2016,52,257267.3853,3466,114,21,51,25,17
